author_id,created_at,text
119503,2025-08-12T22:11:00.036486,@Ask_Spectrum 83001
Ask_Spectrum,2025-08-12T22:11:00.138290,@119503 Thank you! Let me check on this for you now. One moment please. ^DT
Ask_Spectrum,2025-08-12T22:11:00.239076,"@119503 Thank you for your patience, I was able to log in. Does it allow you to get to the log in page at all? Also, can ... https://t.co/0FBFpnwi08"
119503,2025-08-12T22:11:00.340386,"@Ask_Spectrum No, every single page comes up blank, just like the one I sent you."
Ask_Spectrum,2025-08-12T22:11:00.440822,"@119503 Thank you, can you try another browser? If not, can you clear your Cache and Delete the cookies and try it again. ^DT"
119503,2025-08-12T22:11:00.542742,@Ask_Spectrum  https://t.co/bmjKKQvUnh
119503,2025-08-12T22:11:00.643593,@Ask_Spectrum No. It's just completely blank. All other web pages are loading.
Ask_Spectrum,2025-08-12T22:11:00.743717,@119503 Good evening! I am very sorry you experienced a concern with our On Line payment option. Are you receiving a particular error message? ^DT
119503,2025-08-12T22:11:00.844351,".@Ask_Spectrum it's impossible for me to pay my bill if your web pages don't load. On that note, isn't making sure web pages load your job?"
sprintcare,2025-08-12T22:11:00.944686,@119504 We apologize for the misunderstanding. You check the status of your order at https://t.co/RDgqxv7W9w . - KC
119504,2025-08-12T22:11:01.045876,@sprintcare ????? https://t.co/1ipFZBAKom
119505,2025-08-12T22:11:01.146559,@119504 @sprintcare All orders say ready for ups like damn
119504,2025-08-12T22:11:01.247223,@sprintcare Then that’s giving false info because my email said 10/30 never got an update and then ups is saying 11/3 and now your saying 11/21 🤦🏾‍♂️
sprintcare,2025-08-12T22:11:01.347757,@119504 The iPhone X will start to be delivered by 11/14. You can get more information by clicking this link: https://t.co/xJXdj2F9rR . - KC
119504,2025-08-12T22:11:01.448365,@119506 @115714 Same boat as you it says order processed: ready for UPS
119506,2025-08-12T22:11:01.548911,"So I ordered the iPhone X on Friday and paid for the mandatory overnight shipping, but yet I won’t receive it til Friday? @115714"
sprintcare,2025-08-12T22:11:01.649608,"@119507 Please send us a Direct Message, so that we can further assist you. -AL"
119507,2025-08-12T22:11:01.750360,@119508 @115714 Michael been complainin bout how his service didnt work since the hurricane and he reseted his phone now it doesn’t work so fix it 😤
119508,2025-08-12T22:11:01.851909,@119507 ima go to sprint and see what they can do about it
119507,2025-08-12T22:11:01.952347,@119508 Damn 😩😩 when you gon get a new phone?
119508,2025-08-12T22:11:02.052790,@119507 oml ty my phone doesnt work anymore
119507,2025-08-12T22:11:02.153318,@119508 Of course I did 😋😋
119508,2025-08-12T22:11:02.253803,@119507 my phone is broken are you doing my streaks? please
sprintcare,2025-08-12T22:11:02.355527,@119509 Hey there! What seems to be the issue today? -MM
119509,2025-08-12T22:11:02.455989,@sprintcare I HAVE A BIG ISSUE WITH YA'LL HELLO
sprintcare,2025-08-12T22:11:02.556441,@119510 We will be glad to have you join our Sprint family. Please reach us via DM for more details. - VC
119510,2025-08-12T22:11:02.658559,"@119511 I'm being over billed, I'm about to cancel my contract and go to @115714."
sprintcare,2025-08-12T22:11:02.759282,"@119512 Please send us a Direct Message, so that we can further assist you. -JE"
