author_id,created_at,text
116052,2025-08-12T21:53:00.057420,"@AzureSupport Thanks for your help:) I've actually decided to use Azure Blob Storage instead, so I don't have to set up a service principal as a non-admin"
AzureSupport,2025-08-12T21:53:00.158806,@116052 Hello! We have some documentation that may help: https://t.co/WvN5SLVlHj Let us know if we can assist further! ^MH
116052,2025-08-12T21:53:00.259006,@azuresupport #azTechHelp Is there an easy way to transfer files from Azure File Store to Azure Data Lake?
AlaskaAir,2025-08-12T21:53:00.360161,@116053 Happy to hear our hardworking team took such good care of you. Thank you for choosing to fly with us. -Kimball
116053,2025-08-12T21:53:00.465419,Thank you @AlaskaAir for listening and helping when I had an issue today. Great customer service.
AlaskaAir,2025-08-12T21:53:00.565739,@116054 That's great to hear! Thanks for being such an awesome guest with us! -Sean
116054,2025-08-12T21:53:00.666884,Wow--great customer service @AlaskaAir! Thank you!
ArgosHelpers,2025-08-12T21:53:00.767757,@116055 I'm sorry to hear this. Please could you send a DM with your order number so I can look into this for you? - Paul
116055,2025-08-12T21:53:00.870604,@ArgosHelpers Terrible delivery service even worse paying extra for a time slot #3hourslate
Postmates_Help,2025-08-12T21:53:00.971993,"@116056 Hey there! DM us the email on your account, please. We can help!"
116056,2025-08-12T21:53:01.073404,"Hey @116057, if I recieve the wrong order and reported it to support...should I place a new order? Or what...?"
Postmates_Help,2025-08-12T21:53:01.174223,@116058 So sorry for the trouble! Please DM us your account email so we can look into this.
116058,2025-08-12T21:53:01.275992,@Postmates_Help order was messed up. Got a $5 refund when I deserve my money back. Food tasted horrible.
Morrisons,2025-08-12T21:53:01.376542,"@116059 Hi Wendss, sorry to hear this! Please DM me which store you use and I'll look into this :) - Kirsty"
116059,2025-08-12T21:53:01.478068,@Morrisons why have you discontinued your tinned ravioli in bolognese sauce. It was better than any other!! 😢
Morrisons,2025-08-12T21:53:01.578614,"@116060 Hi there, sorry to hear this :( I'll be sure to pass on your feedback :) - Kirsty"
116060,2025-08-12T21:53:01.679237,"Just so @Morrisons know, orange donuts were a TERRIBLE idea."
AskTarget,2025-08-12T21:53:01.780015,@116061 Our apologies for any inconvenience. DM us with more details &amp; store location. https://t.co/bEVlRVM6db
116061,2025-08-12T21:53:01.880568,@AskTarget Thank you for responding. I look forward to working with you.
116061,2025-08-12T21:53:01.981972,@116062 has disgustingly mismanaged the released of the Crota Pops. You should be ashamed of your distribution and retail staff.
AskTarget,2025-08-12T21:53:02.084511,@116063 That looks a little melted. DM us with more details for us to help. https://t.co/bEVlRVM6db
116063,2025-08-12T21:53:02.185537,How can I give this out?  Wtf @116062 https://t.co/OElDh05lPG
AskTarget,2025-08-12T21:53:02.286217,@116064 Great Suggestion! We have shared your comments with our Marketing Team for review. Thanks for tweeting us.
116064,2025-08-12T21:53:02.387555,"@AskTarget Looks like Marketing Team didn't think that was a good idea. What is the motto for @116062 again? Something like ""lol Fuck Our Customers""?"
116064,2025-08-12T21:53:02.490233,@116065 @AskTarget @116062 Can you do something similar for the Crota Funko Pop? This proves that you're capable of letting us know in advance when a limited product will go up for sale. You can still redeem yourselves for that fiasco of a launch. Please don't just randomly throw it up.
116065,2025-08-12T21:53:02.591875,SNES Classic will go up for Redcard members only at Target dot com at 7 AM PT November 1st https://t.co/5O5WXcpky2 https://t.co/hnRuz3CwmX
GoDaddyHelp,2025-08-12T21:53:02.692860,"@116066 Yes, we have chat. Live chat is available on the help page Monday through Friday from 5am - 6pm Arizona time in the US."
116066,2025-08-12T21:53:02.794609,@GoDaddyHelp hey godday do you have a chat support?? I had an issue while im tryin to sync merchandise from printfull to my woocommerce ..
GoDaddyHelp,2025-08-12T21:53:02.895804,@116067 2/2 Here is an article that explains why that happens: https://t.co/DcHLy9Eiw4 ^Heather
116067,2025-08-12T21:53:02.996963,@GoDaddyHelp Thank you!
GoDaddyHelp,2025-08-12T21:53:03.098532,@116067 You're most welcome. :) ^Heather
116067,2025-08-12T21:53:03.200263,@GoDaddyHelp Shit wrong one https://t.co/Fdvwd8vT22
GoDaddyHelp,2025-08-12T21:53:03.300961,"@116067 Thanks. It looks like that domain isn't registered with us, though. Do you have any domains with GoDaddy?^W https://t.co/rYq25s2Pfj"
116067,2025-08-12T21:53:03.401745,@GoDaddyHelp https://t.co/qbjuBeYovF
GoDaddyHelp,2025-08-12T21:53:03.503599,"@116067 Hi, that's not something we do. If your domain is public, spammers have access to your contact info. What's the domain? ^KJ"
116067,2025-08-12T21:53:03.604756,@116068 I'd appreciate it if you wouldn't sell my personal info to other companies. You had no right and i'll be reporting you to the BBB
GoDaddyHelp,2025-08-12T21:53:03.705882,@116067 Ok I do see you registered without privacy. That means your information is public in the whois database. 1/2
GoDaddyHelp,2025-08-12T21:53:03.807192,@116069 2/2 be transparent about the fix. You can still turn it back on. ^Heather
116070,2025-08-12T21:53:03.907812,"@GoDaddyHelp @116069 Lies, i set mine to off myself, it was no error or mistake."
116069,2025-08-12T21:53:04.016646,@116068 I specifically turned off auto renew. Why the hell did you feel the need to change it? This is shady as hell. https://t.co/HPICov83MV
GoDaddyHelp,2025-08-12T21:53:04.117000,@116069 I'm sorry you feel that way. It was a mistake that it wasn't setup automatically. A lot of people count on it. We emailed to 1/2
CenturyLinkHelp,2025-08-12T21:53:04.217456,"@116071 I apologize for the poor experience you've had with us. If there is anything that I can help you with, please DM me. -Lexie"
116071,2025-08-12T21:53:04.324998,@116072 really knows how to celebrate Halloween. I have basically no internet 😠 #centurylinksucks
CenturyLinkHelp,2025-08-12T21:53:04.425231,"@116071 Please let us know if you have any questions, just DM us your account number and any questions you may have. -Lexie"
116071,2025-08-12T21:53:04.525453,I'm trying to run a speed test but all it says is Network Communication Error after briefly showing 0.02 Mbps #centurylink #centurylinksucks
CenturyLinkHelp,2025-08-12T21:53:04.626154,"@116073 I apologize for the poor experience you've had with us. If there is anything that I can help you with, please DM me. -Lexie"
116073,2025-08-12T21:53:04.727226,@CenturyLinkHelp Change your hold music from being a 2 min loop for the love of god.
116073,2025-08-12T21:53:04.828255,@CenturyLinkHelp And give your call center people a raise for having to deal w/the nonsense created by your robot system that randomly cancels installations.
116073,2025-08-12T21:53:04.929047,".@116072 I heard you guys were bad; after an install no-show &amp; 25+ min of being on hold, I'm thinking the rumors were true."
CenturyLinkHelp,2025-08-12T21:53:05.029371,"@116074 Hello Venessa, I would be more than happy to assist you. Please send me a DM. -Katie"
116074,2025-08-12T21:53:05.130269,@116072 You are the worst! I have to wait three days to get my internet fixed...
AskPapaJohns,2025-08-12T21:53:05.231083,@116075 Hi there! This would be a question for your local store. Thanks for your time! 😊
116075,2025-08-12T21:53:05.331392,Aye @116076 why y’all don’t deliver to Xavier University of Louisiana??? What’s beef??
AskPapaJohns,2025-08-12T21:53:05.433215,@116077 We hate to hear this. Can you DM us what happened?
116077,2025-08-12T21:53:05.533418,@AskPapaJohns I sure can!
