author_id,created_at,text
AmazonHelp,2025-08-12T22:18:00.021344,@120613 We haven't received your details yet. Kindly share your details through the link provided above so that we 1/2 ^SH
AmazonHelp,2025-08-12T22:18:00.121732,@120613 Sorry for the inconvenience. You may check the email from our team here: https://t.co/NTkrxpsbHJ if you are unable (1/2) ^KA
AmazonHelp,2025-08-12T22:18:00.222652,@120613 and I'll get back to you. 2/2 ^SH
AmazonHelp,2025-08-12T22:18:00.323884,"@120614 Hi, apologies. Carriers should not follow handwritten delivery notes. You can set them on your acc: https://t.co/aLmiGBTlSk. ^JJ"
120614,2025-08-12T22:18:00.424232,@AmazonHelp I can’t change my settings every time the baby goes to sleep! Ridiculous
120614,2025-08-12T22:18:00.526215,"@AmazonHelp And he left it on the doorstep anyway, after creating merry hell"
AmazonHelp,2025-08-12T22:18:00.626604,@120614 Please reach out to us directly here: https://t.co/JzP7hlA23B and we can look into this. ^PK
120614,2025-08-12T22:18:00.727144,"@AmazonHelp , as @115830 haven’t replied, could you? https://t.co/HZhcbSKhWv"
AmazonHelp,2025-08-12T22:18:00.828806,@120615 Our Twitter page is visible to public. 3/3 ^SB
120615,2025-08-12T22:18:00.936719,@115850 I hv ord BB Q5 in Sept mth but recd BBQ10 which picked on 7th Oct but still not recd refund after follow up #Amazon  #Cheater https://t.co/f0mfVylfuG
AmazonHelp,2025-08-12T22:18:01.050252,@120615 I'm sorry about the delay in refund. Please escalate this to our support team here: https://t.co/vlvfJr4nN9. 1/3 ^SB
AmazonHelp,2025-08-12T22:18:01.152072,@120615 We'll look into it. Please don’t provide your order/account details as we consider them to be personal information. 2/3 ^SB
AmazonHelp,2025-08-12T22:18:01.253473,"@120616 sorry to hear that, sometimes delays happen for unforeseen reasons. ^AS"
120616,2025-08-12T22:18:01.353736,"Thanks @115821 for your ""Same Day Delivery""!! It's not like I was hoping to get my order on my day off or anything. #AMZLFail https://t.co/ewUKuXuRzh"
AmazonHelp,2025-08-12T22:18:01.453999,"@120617 あゆむん。さま、通常配送でご注文金額が2,000円(税込)以上に満たない場合、配送料をご請求させていただいております。配送について詳しくはこちらをご参照ください。https://t.co/0DMnosZ9xU ET"
120617,2025-08-12T22:18:01.555331,"@116313 送料を顧客が払えるオプションつけてくれません？"
AmazonHelp,2025-08-12T22:18:01.659617,"@120618 Hi, please request a call here: https://t.co/dcJUFiqj5v to look into this. ^JJ"
120618,2025-08-12T22:18:01.761134,@AmazonHelp  emailing to enquiremorrissey tickets as they go on sale today from 10.00 but No brighton date has come up as it is advertised.
AmazonHelp,2025-08-12T22:18:01.862610,@120619 My apologies Frances. What was the expected delivery date given at the time the order was placed? ^DC
120619,2025-08-12T22:18:01.962859,@AmazonHelp Order placed 30/10 with stated prime delivery of 31/10. At 7.30pm informed delayed allow further 2 days! Not 1st time prime has failed!!
AmazonHelp,2025-08-12T22:18:02.063273,"@120619 sorry to hear that, delays can happen sometimes for unforeseen reasons, its not what we want you to experience. ^AS"
120619,2025-08-12T22:18:01.771973,@AmazonHelp Il pass on your apology to the child who the present id for I'm sure that will make them feel better!
120619,2025-08-12T22:18:01.355944,"Bad service &amp; no reply! Why do Amazon make it so hard to get in touch! Delivery due yesterday as paid for, not in 2 more days! @AmazonHelp https://t.co/dx43TTZIQK"
AmazonHelp,2025-08-12T22:18:01.456362,"@120619 Hi sorry to hear that, were you given a reason for the delay? ^AS"
AmazonHelp,2025-08-12T22:18:01.557015,@120620 I'm afraid we can't access order/account info here. What does the new update indicate? ^DC
120620,2025-08-12T22:18:01.657345,@AmazonHelp I have the parcel now but my point is that I’m paying a monthly fee for a service that I’m not getting the benefit of
AmazonHelp,2025-08-12T22:18:01.757843,"@120620 Sorry, did you report the delay to us: https://t.co/JzP7hlA23B? Here's a list of all Prime benefits: https://t.co/1F8zzRxUMC!^JJ"
120620,2025-08-12T22:18:01.858916,@AmazonHelp Thanks for your help 🙄 I'll just cancel it
120620,2025-08-12T22:18:01.959467,@AmazonHelp I assumed your previous question meant you were going to do something...? https://t.co/Ry03t6eDaK
AmazonHelp,2025-08-12T22:18:02.062455,@120621 Depois nós conta o que achou do livro. 😊 ^DA
120621,2025-08-12T22:18:02.163626,@AmazonHelp Pode deixar 👍
120621,2025-08-12T22:18:02.264479,@AmazonHelp Valeu pela dica 😉
AmazonHelp,2025-08-12T22:18:02.365308,"@120621 Decisão dificil né Tiago? Eu fiz uma pesquisa e o livro ""O Senhor das Moscas"" parece muito interessante 😉. ^AZ"
120621,2025-08-12T22:18:02.466494,"@AmazonHelp Ainda tenho que me decidir, os dois livros parecem ser incríveis."
AmazonHelp,2025-08-12T22:18:02.567159,"@120621 Tiago, você acabou de nos avisar a melhor noticia do dia 💜, estamos felizes por essa adquisição maravilhosa📚. Me diga, qual livro vai ler primeiro? ^MB"
120621,2025-08-12T22:18:02.667983,"@117086 Chegaram rapidinho (menos de 48h depois de eu ter feito o pedido), ainda embalados no plastico e paguei mais barato do que em outras livrarias virtuais famosas. Agora só compro livro na amazon. https://t.co/7Mg2yoVjWe"
Uber_Support,2025-08-12T22:18:02.768291,@120622 Here to help! Send us a note at https://t.co/e8HVorX5rh so our team can connect right away.
120622,2025-08-12T22:18:02.869510,@Uber_Support hallo I booked an uber and the driver kept lying to me so 45minutes later I asked him to cancel the trip and he did. He..
comcastcares,2025-08-12T22:18:02.970559,"@120623 Hello, I am glad that it is back now. Is there anything else we can assist you with? -EP"
120623,2025-08-12T22:18:03.072006,@comcastcares got it back thanks y'all 👌
comcastcares,2025-08-12T22:18:03.172475,"@120624 Hi, I can check on the status of your service and the area for you. Can you DM the name and address on the account?-Sean"
120624,2025-08-12T22:18:03.273633,"@ComcastCares
#mobile_Care how long does scheduled maintenance last? It’s been an hour since my service dropped with no warning."
comcastcares,2025-08-12T22:18:03.374704,"@120625 If you change your mind, please do not hesitate to reach back out to us. We're here to help. -DR"
120625,2025-08-12T22:18:03.475152,@comcastcares i respect your kindness. your customer service has always been top notch to me.
120625,2025-08-12T22:18:03.576433,@comcastcares you never helped worth a crap before. im not giving you private info.
comcastcares,2025-08-12T22:18:03.677522,"@120625 Hello, I apologize for the troubles w/ your service. Can you please DM your full address &amp; phone#? I would like to help. TY -DR"
120625,2025-08-12T22:18:03.777740,@116136 fuck you. dicksmacks.
comcastcares,2025-08-12T22:18:03.877937,@120626 Hello. I'd like to look into whats going on with your connection. Please send a DM with your address and phone number. -SK
120626,2025-08-12T22:18:03.978091,When you in intense @119514 game then internet goes out @115900 come on get it together pleasse
comcastcares,2025-08-12T22:18:04.079405,"@120627 Hi, we would like to look into your issue for you. Please send us a DM with your acct number or full address. Thank you, -EP"
120627,2025-08-12T22:18:04.185033,.@116136 you need to send a reminder or message to your customers when you'll be taking their phone/internet down for maintenance.
comcastcares,2025-08-12T22:18:04.294188,"@120628 account, and I'll look into that for you? - Kerry"
120628,2025-08-12T22:18:04.425780,"@ComcastCares
#mobile_Care
Trying to change me play my 12 month contract just ended and i need to renew with a new plan, can yall help?"
comcastcares,2025-08-12T22:18:04.526157,"@120629 account # or full address, telephone number and name on the account, and I'll look into this for you? - Kerry"
120629,2025-08-12T22:18:04.626455,@115900 kiss my black ass
120629,2025-08-12T22:18:04.746547,"ive only had xfinity one or two months but im already sick of it

in fact, i was sick of it the first day i got it"
AppleSupport,2025-08-12T22:18:04.846645,"@120630 We're happy to help get your iPhone back up and running. To start, check out the steps for that error here: https://t.co/VtLfFWoKGX"
120630,2025-08-12T22:18:04.946917,"@AppleSupport just installed your latest update on my 6s, it failed, and now my phone won't even restore ""error 21"", thanks apple"
AppleSupport,2025-08-12T22:18:05.047177,@120631 Thanks! We'll want to get your iPhone updated to iOS 11.1.2. Here's how: https://t.co/80YRnjDFDk
120631,2025-08-12T22:18:05.147439,@AppleSupport Wasn’t aware that an update mainly for the X would fix battery issues with the 6s. 🤷🏼‍♂️ thanks!
120631,2025-08-12T22:18:05.247696,@AppleSupport Version 11.11 (15B150)
AppleSupport,2025-08-12T22:18:05.347943,"@120631 We can help with battery life. Do you know what version of the iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version."
120631,2025-08-12T22:18:05.448612,Now 4%. Wtf @115858
120631,2025-08-12T22:18:05.549461,"Just watched my #iphone go from 23% battery to 20, then 13, now 9 all in 10 seconds. On low power mode. Wtf."
SpotifyCares,2025-08-12T22:18:05.763710,@120632 No worries! Feel free to give us a shout if we can help with anything else. We're always... https://t.co/zOXI69QSqg​ /RS
120632,2025-08-12T22:18:05.865304,Spotify and Hulu is like the only good thing to happen this year
SpotifyCares,2025-08-12T22:18:05.966040,@120633 Hey! We have more info about the Play Queue at https://t.co/G7PK3sVrTN. Let us know if there's anything else /RC
120633,2025-08-12T22:18:06.066679,@115888 but when will we be able to see how long our play queue is
TMobileHelp,2025-08-12T22:18:06.166967,@120634 Nothing is better than free ice cream! Meet me in the DMs https://t.co/sBIVWmm6X2 *EddieGough
120634,2025-08-12T22:18:06.267297,"@TMobileHelp due to there already being a promotion today for Baskin Robbins, I was not allowed to use my credit, why T-Mobile?"
AmericanAir,2025-08-12T22:18:06.368071,@120635 We want you to stay entertained while on board. Take a look here for info on streaming to your device: https://t.co/n3xnGPgfe2
120635,2025-08-12T22:18:06.468384,@AmericanAir a Paris - New York 8 hour flight without a personal screen in 2017 ?!?! Are you serious ??? #worstairlineever and no window :-(
British_Airways,2025-08-12T22:18:06.570148,@120636 We're sorry you were disappointed with our partner. We've passed on your comments. ^Alex
120636,2025-08-12T22:18:06.670316,"@120637 Awful customer service. First and last time I'll fly with Iberia. How can @British_Airways operate with them?#neveragain #poor"
British_Airways,2025-08-12T22:18:06.770612,"@120638 If you have a booking and would like to discuss your options, please let us know. 2/2 ^Alex"
120638,2025-08-12T22:18:06.870908,@British_Airways are you still allowing travel to NYC after terror attack? #NewYork
British_Airways,2025-08-12T22:18:06.979727,"@120638 There is currently no advice to stop travel to New York, Rory. We appreciate why you're concerned. 1/2"
AppleSupport,2025-08-12T22:18:07.081498,@120639 That is not the experience we want you to have. We'd be happy to look into this with you. Can you DM us what you are experiencing with your iTunes account? What do you currently see on the screen? Are you signed in to the account? We'll continue this in DM. https://t.co/GDrqU22YpT
120639,2025-08-12T22:18:07.181812,"Day 6 in the iTunes Lockout.
I cannot get help or explanation. Cannot download apps, update them or play music on my iPhone.
I bet some angry employee locked a thousand accounts and now won't pick up at 
1-866-9703764
#BadApple @AppleSupport @120640"
British_Airways,2025-08-12T22:18:07.282058,"@120641 All of our 747's have been refurbished, Jooles. We think you'll be impressed. ^Alex"
120641,2025-08-12T22:18:07.382316,"@British_Airways Hi, please can you tell me how old/new your 747 jet from London to JFK is? Thanks"
British_Airways,2025-08-12T22:18:07.482517,"@120642 Did our staff explain why you were unable to be rebooked for the same day, Mark? ^Alex"
120642,2025-08-12T22:18:07.582767,@British_Airways Not only that we were moved to a different airport which makes it incredibly difficult for us to get there
120642,2025-08-12T22:18:07.683435,@British_Airways Nope I did not get an explanation. I suspect because I booked with miles I have hotel reservations tours that were non refundable.
British_Airways,2025-08-12T22:18:07.783898,"@120642 We're so sorry to hear this, Mark. Do you have travel insurance to cover your hotel and tours? ^Jane"
120642,2025-08-12T22:18:07.885250,@British_Airways Or you find a way to get us to Rome the same day. Should matter if we paid avios or not
120642,2025-08-12T22:18:07.986549,@British_Airways They were able to get us to Rome from Newark the same day. We have to take the train. Will this be reimbursed if we fill out a form?
120642,2025-08-12T22:18:08.088311,@British_Airways Yes but they will not cover anything if the delay is a result of airline cancellation so it either needs to be covered by you
British_Airways,2025-08-12T22:18:08.188781,"@120642 We appreciate this isn't the response you were hoping for, but these are classed as consequential losses. ^HP 3/3"
120642,2025-08-12T22:18:08.289286,@British_Airways I will invoke the eu rule and get my 600 euros
118392,2025-08-12T22:18:08.390676,@British_Airways @120642 biggest shit ever @British_Airways THIEVES
120642,2025-08-12T22:18:08.492358,@British_Airways But this is British Airways fault that they cancelled the flight in the first place because of poor flight load.
British_Airways,2025-08-12T22:18:08.593313,"@120642 We're really sorry your trip has been impacted, but we're unable to cover out of pocket travel expenses when a rebook has been accepted. 2/3"
118392,2025-08-12T22:18:08.694188,@British_Airways @120642 biggest shit ever @British_Airways THIEVES
British_Airways,2025-08-12T22:18:08.795713,"@120642 Hi Mark, when disruption happens the options we're able to offer are consistent whether you originally booked with Avios or cash. 1/3"
118392,2025-08-12T22:18:08.896407,@British_Airways @120642 biggest shit ever @British_Airways THIEVES
120642,2025-08-12T22:18:08.997548,@British_Airways  Trip ruined Leaving for Rome Friday and flight cancelled. They wont rebook trip from Dulles same day. #britishairways
British_Airways,2025-08-12T22:18:09.098073,"@120643 They would need to speak to their local embassy, Rami. ^Alex"
120643,2025-08-12T22:18:09.198419,"@British_Airways passport expire in 4 months with valid UK visa, trip next week to UK for 4days.Can this person travel with you &amp; entre UK?"
AppleSupport,2025-08-12T22:18:09.298734,"@120644 Hey, we'd like to help get your iPhone responding smoothly for you. Reply by DM, and tell us more about what you're seeing. Be sure to also let us know the iOS version shown in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT"
120644,2025-08-12T22:18:09.399043,@115858 please stop making old operating systems extremely slow and buggy when the new phone comes out. I’ll get a new phone eventually but damn it just let me use the one I have now in peace and without freezing every ten seconds
sprintcare,2025-08-12T22:18:09.499916,@120645 Hi there! We saw your tweet and would like to assist you. Please send us a DM and follow to further assist. -GM.
120645,2025-08-12T22:18:09.601074,@sprintcare why is all my text from earlier today just coming in? Used to work for Sprint &amp; could never understand it?
VirginTrains,2025-08-12T22:18:09.701853,@120646 It should now be coach C. ^PA
120646,2025-08-12T22:18:09.802901,@VirginTrains Thanks... Is this a one off or a regular thing now please!
VirginTrains,2025-08-12T22:18:09.903226,"@120646 It is yes, they are slowly being changed over the next month or so. ^PA"
120646,2025-08-12T22:18:10.003709,@VirginTrains Has the unreserved coach been changed on the 17:47 out of Lime St? Coach F on this 9 coach pendolino is virtually fully reserved today!?
VirginTrains,2025-08-12T22:18:10.104356,"Unreservable coaches with the new timetable are as follows: 
9 car Pendolino - Coach E
11 car Pendolino - Coaches U &amp; F"
VirginTrains,2025-08-12T22:18:10.254890,"@120647 You can do it, I have faith in you 😀 . ^PA"
120647,2025-08-12T22:18:10.355639,@VirginTrains TY 😆At least once in London Euston ppl will think I'm on a phone call
VirginTrains,2025-08-12T22:18:10.456283,@120647 🤣 ^PA
120647,2025-08-12T22:18:10.556739,Practising my Spanish 🇪🇸 alphabet pronunciation on the 06:48 @VirginTrains  keep getting stuck on G 🙄😁#nottalkingtomyself
VirginTrains,2025-08-12T22:18:10.657432,"@120648 Ok, sorry there wasn't any help, they should have been able to contact the staff for you. ^PA"
120648,2025-08-12T22:18:10.759085,@VirginTrains Yep :(
120648,2025-08-12T22:18:10.859836,"@VirginTrains Twitter just gave me standard ‘call lost property’ replies, lost property rang out, it was a total brick wall..."
120648,2025-08-12T22:18:10.960586,@VirginTrains And genuine question - what if this has been a real emergency? On a peak time train surely customer service should have been available?
VirginTrains,2025-08-12T22:18:11.061254,@120648 If it was an emergency then our control team will have been informed and things will be in place for this. ^PA
120648,2025-08-12T22:18:11.162133,@VirginTrains Gah! Just very very frustrating on an expensive train ticket at peak time. Shoddy customer service :(
VirginTrains,2025-08-12T22:18:11.262522,@120648 2/2 if it is found it will be handed in then you will need to log it. ^PA
120648,2025-08-12T22:18:11.364141,"@VirginTrains Look - going round in circles here, there’s real work to be done, kids to be cared for and keys to be cut..."
120648,2025-08-12T22:18:11.464862,@VirginTrains I’ll pop in a proper complaint to the actual powers. Argument just that a simple radio to the train would have solved everything.
VirginTrains,2025-08-12T22:18:11.566012,"@120648 1/2 I appreciate the frustration, however when it comes to lost property,"
120648,2025-08-12T22:18:11.666799,@VirginTrains How could I have reached them? I was told it’s categorically not possible to contact the train...
120648,2025-08-12T22:18:11.768803,@VirginTrains So guess I was being brushed off because no one wanted to help? And facing being locked out of home and car with baby not an emergency?
120648,2025-08-12T22:18:11.869870,@VirginTrains I’m not trying to be ranty mc rantface of Twitter! Just do you guys actually have any ability to act or is twitter PR window dressing?
120648,2025-08-12T22:18:11.970459,@VirginTrains So - was I just given the wrong information at the time? Where did this go wrong? Is there a genuine customer service number I can call?
VirginTrains,2025-08-12T22:18:12.071670,"@120648 I don't know for sure if they should have called or if they do that, but it sounds like something they should be able to do ^PA"
120648,2025-08-12T22:18:12.172438,"@VirginTrains So - what can be done? Genuinely, this is a systems fail."
120648,2025-08-12T22:18:12.273458,"@VirginTrains ...an email or postal address would be fab, thanks."
VirginTrains,2025-08-12T22:18:12.374145,@120648 You can contact them via https://t.co/dNhDAh81ff or write in via https://t.co/H0v2AYiHzk ^PA
120648,2025-08-12T22:18:12.475333,"@VirginTrains If you guys don’t know, how can I contact real customer service to register a complaint? And please, no endless looping phone numbers!"
120648,2025-08-12T22:18:12.576029,@VirginTrains 15.03 Euston to New street. Have logged item with all lost property offices.
VirginTrains,2025-08-12T22:18:12.677222,"@120648 I see sorry to hear that, where was this? ^PA"
